,ADS,ALV,BAS,BEI,BMW,CBK,DAI,DB1,DBK,DPW,DTE,EOAN,FME,FRE,HEI,HEN3,IFX,LHA,LIN,MRK,PSM,RWE,SAP,TKA,VNA
ADS,,0.080410332,0.088302076,0.132605148,0.056230548,0.527706503,0.059221131,0.169349506,0.093670264,0.18153873,0.141716613,0.076240027,0.413274808,0.068731118,0.102908589,0.092187723,0.131198999,0.110157078,0.0929919,0.147227072,0.048592463,0.157296119,0.322408863,0.117363558,
ALV,,,0.470817587,0.417234436,0.403304337,0.329380131,0.564265064,0.362133176,0.235207778,0.547531909,0.336033772,0.167983954,0.464151634,0.31654784,0.457320902,0.396277541,0.491189664,0.36251178,0.387131555,0.356946223,0.426705098,0.222673674,0.134183458,0.366605366,
BAS,,,,0.422732625,0.312710755,0.195436484,0.547667192,0.268828875,0.223155376,0.534234059,0.205988734,0.383586664,0.133814596,0.208181949,0.448661862,0.260618046,0.290861832,0.313199559,0.38339779,0.272899222,0.280498423,0.205973864,0.131895764,0.433211008,
BEI,,,,,0.38596428,0.220799699,0.42391418,0.235710083,0.267235196,0.434875094,0.188993826,0.280683887,0.530995842,0.513670474,0.283823156,0.556823052,0.250396741,0.233681416,0.451499673,0.423885831,0.445364027,0.244407287,0.232495734,0.189196907,
BMW,,,,,,0.558659787,0.577231173,0.202360554,0.239308161,0.420346367,0.280476172,0.226262349,0.432301389,0.452651499,0.168391667,0.596818027,0.265022345,0.161306983,0.601761512,0.48546805,0.472905816,0.239023758,0.116833024,0.222732177,
CBK,,,,,,,0.435151285,0.361999546,0.763593278,0.172885957,0.430899727,0.485892675,0.411599139,0.333215898,0.247434769,0.28572687,0.353578304,0.285023483,0.248123877,0.231260916,0.276130833,0.373293522,0.34138372,0.151256829,
DAI,,,,,,,,0.221728662,0.214092553,0.51052516,0.389755977,0.191997362,0.502317819,0.38336604,0.281380671,0.456751778,0.315178697,0.283430334,0.505568106,0.4120605,0.473347806,0.198013078,0.116520869,0.374772066,
DB1,,,,,,,,,0.346926991,0.373764878,0.172029509,0.259508547,0.637286912,0.114652638,0.496091638,0.217067257,0.237671203,0.264138688,0.169039942,0.207652271,0.231630797,0.329888404,0.268494601,0.333176445,
DBK,,,,,,,,,,0.224965956,0.11048263,0.536727308,0.37070948,0.277525734,0.363911073,0.295736697,0.159977803,0.322084563,0.288506696,0.18501388,0.230291733,0.480853466,0.156855088,0.306113245,
DPW,,,,,,,,,,,0.404648761,0.215948403,0.18590231,0.278584144,0.399459348,0.429870736,0.42738339,0.281269839,0.39516219,0.453746894,0.38064271,0.289042917,0.224994489,0.319985404,
DTE,,,,,,,,,,,,0.13227505,0.64251376,0.257661507,0.170049702,0.283564456,0.314835578,0.072179644,0.21958513,0.224384997,0.25911644,0.21188008,0.179449318,0.185380451,
EOAN,,,,,,,,,,,,,0.393842847,0.319028448,0.461301369,0.285322994,0.11229176,0.164352474,0.293056296,0.168510617,0.148856528,0.546221269,0.188593828,0.337413332,
FME,,,,,,,,,,,,,,0.592094373,0.290438112,0.415559497,0.392766112,0.206160841,0.227091239,0.480333532,0.500756797,0.437809954,0.531188771,0.166710322,
FRE,,,,,,,,,,,,,,,0.212117678,0.601538684,0.291877311,0.087539017,0.468777459,0.515939777,0.463130144,0.286309638,0.04622262,0.056464637,
HEI,,,,,,,,,,,,,,,,0.230004335,0.280045254,0.337436707,0.277420309,0.196867918,0.231684728,0.349768977,0.175987456,0.426206706,
HEN3,,,,,,,,,,,,,,,,,0.269905862,0.090404486,0.604662585,0.584370329,0.457527666,0.304401675,0.126791051,0.179635586,
IFX,,,,,,,,,,,,,,,,,,0.204705755,0.167984546,0.25062268,0.328311683,0.147380818,0.092041452,0.195981116,
LHA,,,,,,,,,,,,,,,,,,,0.161172383,0.087270875,0.241002406,0.198953328,0.114355176,0.408114701,
LIN,,,,,,,,,,,,,,,,,,,,0.476557268,0.326727253,0.274148638,0.205677441,0.29239318,
MRK,,,,,,,,,,,,,,,,,,,,,0.386055296,0.222320221,0.174415615,0.163324111,
PSM,,,,,,,,,,,,,,,,,,,,,,0.171775928,0.052817036,0.153491378,
RWE,,,,,,,,,,,,,,,,,,,,,,,0.204140191,0.34332034,
SAP,,,,,,,,,,,,,,,,,,,,,,,,0.247061232,
TKA,,,,,,,,,,,,,,,,,,,,,,,,,
VNA,,,,,,,,,,,,,,,,,,,,,,,,,
