count,id,label
58,n0,SPX
60,n1,Auscbld_YoY
59,n2,agUSMAIPTOTP
65,n3,aqUSMAIUTOT
58,n4,aUSBSISMPUR
52,n5,aqUSBSCHBB
55,n6,aqUSBSPHIM
66,n7,aqUSBSISNBA
50,n8,aaUSMANOMDUR
51,n9,aaUSMANOCPX
69,n10,aqUSLWICUIC
67,n11,aeUSLWECHNF
56,n12,aeUSLWUR
57,n13,aeUSPRCUSCONPRC
60,n14,aeUSPRCXFDE
46,n15,aeUSPRPFG
58,n16,aaUSWRSRX
65,n17,abUSCE
54,n18,aeUSMBSARDI
53,n19,ahUSCSUMS
57,n20,aqUSCSCF
56,n21,aUSIRFDTRGD
55,n22,aaUSMBM2
53,n23,aUSIRTCM10D
53,n24,aUSIRFRM30W
53,n25,aUSIRFRM15W
63,n26,aUSCIMGAI
57,n27,aUSCIMGAIP
54,n28,apUSCISESH
57,n29,aeUSCISHNO
57,n30,aaUSCISEMP
51,n31,aaUSCISNMP
58,n32,aeUSCIPH
58,n33,aeUSCISTPH
47,n34,aUSCINAHBMI
64,n35,bIXSP25HOM
55,n36,afUSCIOFSP10
52,n37,aaUSEITB
54,n38,aUSBSISMNO
56,n39,aUSBSISMIV
54,n40,aUSMBCACI
57,n41,aaUSMBCO
60,n42,aaUSMBCORE
66,n43,abUSPI
68,n44,abUSPIWS
58,n45,abUSPIDIC
52,n46,adUSPIDIC
59,n47,aqUSBSISNON
55,n48,arUSBSISNIO
68,n49,aUSCBLD
61,n50,aUSCBLD1
68,n51,aUSCBLD2
59,n52,aUSCBLD3
49,n53,aUSCBLD5
58,n54,aUSCBLD6
51,n55,aUSCBLD8
61,n56,aUSCBLD9
54,n57,aUSCBLD10
48,n58,aUSCBCO
50,n59,aUSCBCO1
49,n60,aUSCBCO2
53,n61,aUSCBCO3
49,n62,aUSCBCO4
58,n63,aUSBSISMEM
58,n64,aUSBSISMIM
52,n65,aUSBSISMEO
56,n66,aUSBSISMCP
52,n67,aUSBSISMPR
44,n68,aUSBSISMDL
47,n69,aUSBSISMBO
49,n70,aUSBSISMCI
67,n71,bUSTIVIXPCMW
23,n72,bUSTICBOEPCR
61,n73,aUSIRMAAA1020D
59,n74,aUSIRMBAA1020D
