,nan_ADS,nan_ALV,nan_BAS,nan_BEI,nan_BMW,nan_DAI,nan_DB1,nan_DBK,nan_DPW,nan_DTE,nan_EOAN,nan_FME,nan_FRE,nan_HEI,nan_HEN3,nan_IFX,nan_LHA,nan_LIN,nan_MRK,nan_PSM,nan_RWE,nan_SAP,nan_TKA
nan_ADS,,0.07695596948571978,0.08526406608102624,0.13157174906230412,0.054216132314421996,0.05671335295465364,0.17000276393495653,0.08998311823720086,0.17351899148900912,0.13752466795099702,0.07981316461010383,0.06508662523132985,0.06223896959181868,0.10424925289029338,0.08492061676562396,0.12125695899983197,0.11341657685196917,0.09209413212646399,0.13952837828907327,0.04580138351238001,0.15468022948449348,0.3259555879463727,0.11859739697469451
nan_ALV,,,0.47081758672201274,0.41723443594209314,0.40330433691333917,0.5623357852734966,0.36213317636083175,0.23520777812496182,0.547531909125576,0.33603377189478123,0.1679839541160995,0.32090018899567285,0.3165478401308193,0.45732090248909363,0.3962775409277389,0.4911896638681575,0.3625117800381144,0.38713155540244015,0.3569462230236585,0.42670509775154336,0.2226736744840941,0.13418345826971226,0.3666053664621357
nan_BAS,,,,0.422732624841279,0.31271075484541483,0.5457168727022356,0.268828875339842,0.22315537583352843,0.5342340590371266,0.20598873385624386,0.38358666350115367,0.15574485387827983,0.20818194864989842,0.4486618622603982,0.26061804617982887,0.2908618318946951,0.31319955941525773,0.3833977903966132,0.27289922187969357,0.2804984225379666,0.20597386394087724,0.13189576410238724,0.43321100780898436
nan_BEI,,,,,0.38596427974481323,0.42246204189618836,0.23571008271266092,0.2672351962377497,0.4348750938686352,0.18899382579394325,0.280683887109591,0.4510326787248061,0.5136704741785735,0.2838231556144811,0.5568230522592627,0.2503967414981477,0.23368141643684726,0.4514996727758653,0.4238858309740564,0.445364026711474,0.244407286702983,0.23249573443388472,0.18919690672392592
nan_BMW,,,,,,0.5752228759065757,0.20236055439526146,0.23930816126539772,0.42034636724875657,0.2804761722632973,0.22626234885096133,0.45124086244398737,0.4526514985522511,0.16839166706619843,0.596818026735715,0.26502234520836476,0.16130698313527633,0.6017615122704795,0.4854680495216429,0.47290581609305044,0.23902375806771234,0.11683302435536227,0.22273217735148418
nan_DAI,,,,,,,0.22004565821436728,0.21416913371562532,0.5090265587749704,0.38726228070191393,0.19194379829267463,0.4268668071628398,0.380810794545466,0.27942594553656,0.4545080770701368,0.31119343795239957,0.28296496116235403,0.5031493233655465,0.4106018922102369,0.4755017732423409,0.19941848907988524,0.11749510199112895,0.3741047631194127
nan_DB1,,,,,,,,0.3469269907618474,0.3737648777364514,0.17202950940967854,0.25950854667641,0.1331617987817747,0.11465263813010565,0.4960916384782717,0.2170672574184424,0.237671203333458,0.2641386883452893,0.16903994191439564,0.2076522706128519,0.23163079738021397,0.32988840415419357,0.26849460077195264,0.3331764454035591
nan_DBK,,,,,,,,,0.22496595598858765,0.1104826303552595,0.5367273079258577,0.22115985672039332,0.27752573384885887,0.36391107323650085,0.29573669747994535,0.15997780302771406,0.3220845633297407,0.28850669608719565,0.18501388040110417,0.23029173303677214,0.48085346563931114,0.15685508846145024,0.306113245272988
nan_DPW,,,,,,,,,,0.404648761477951,0.21594840322328007,0.31977537827285357,0.2785841435836856,0.3994593481778673,0.4298707364786349,0.42738338957000654,0.28126983916642095,0.3951621898883155,0.4537468944626435,0.38064270966013164,0.2890429165179262,0.22499448887282897,0.31998540418806265
nan_DTE,,,,,,,,,,,0.13227505045528296,0.3084381958549576,0.25766150667903065,0.17004970153982607,0.2835644558889619,0.3148355781356608,0.0721796439223586,0.21958512960607435,0.22438499729502698,0.2591164397710102,0.21188007993553096,0.17944931758036478,0.18538045104151674
nan_EOAN,,,,,,,,,,,,0.21177867243139709,0.3190284476498431,0.4613013687298325,0.2853229942244514,0.11229175979694572,0.16435247419258533,0.29305629564069063,0.1685106174921315,0.14885652790145767,0.5462212691623378,0.18859382756201365,0.33741333245433425
nan_FME,,,,,,,,,,,,,0.7207764294372331,0.1387567527515394,0.5444779357655488,0.2375128269908451,0.07834671155539108,0.4030398184226773,0.5609539108005703,0.47519815035433877,0.21911855965140625,0.05177709517415904,0.04678600894617184
nan_FRE,,,,,,,,,,,,,,0.21211767769202872,0.6015386844984433,0.29187731130079186,0.08753901654252196,0.468777459462082,0.5159397766610142,0.4631301437177678,0.28630963753530314,0.04622262004650977,0.05646463722710399
nan_HEI,,,,,,,,,,,,,,,0.23000433514285418,0.2800452542636645,0.3374367067827933,0.2774203090437891,0.19686791780444782,0.23168472750964883,0.3497689773632102,0.17598745638030408,0.4262067064607315
nan_HEN3,,,,,,,,,,,,,,,,0.26990586167653347,0.09040448558269057,0.6046625851456107,0.5843703287761597,0.4575276663930727,0.3044016749462869,0.12679105082677963,0.17963558641691013
nan_IFX,,,,,,,,,,,,,,,,,0.2047057554073868,0.1679845461151138,0.25062267975264185,0.32831168307297925,0.1473808181623155,0.09204145195106173,0.19598111637672666
nan_LHA,,,,,,,,,,,,,,,,,,0.16117238281200996,0.08727087489670093,0.24100240610551404,0.19895332765198984,0.1143551762946782,0.40811470083107027
nan_LIN,,,,,,,,,,,,,,,,,,,0.47655726762727946,0.32672725286869786,0.2741486375029758,0.20567744094144833,0.292393180246862
nan_MRK,,,,,,,,,,,,,,,,,,,,0.38605529553162865,0.22232022062765022,0.17441561515328133,0.16332411123367443
nan_PSM,,,,,,,,,,,,,,,,,,,,,0.17177592779304005,0.052817036219955864,0.15349137771159457
nan_RWE,,,,,,,,,,,,,,,,,,,,,,0.20414019055994026,0.34332033969107967
nan_SAP,,,,,,,,,,,,,,,,,,,,,,,0.24706123239197617
